created_at,full_text,Sentiment,cleaning,case_folding,normalisasi,kata_baku,kata_tidak_baku,kata_tidak_baku_hash,tokenize,stopword_removal,stemming
2022-09-04T12:19:58.000Z,tetep aja data nya bisa d manipulasi malah mudah,Negatif,tetep aja data nya bisa d manipulasi malah mudah,tetep aja data nya bisa d manipulasi malah mudah,tetap saja data ya bisa di manipulasi malah mudah,"['tetap', 'saja', 'ya', 'di']","['tetep', 'aja', 'nya', 'd']","[-8314151524493396775, 4947893755461839197, 1299325212670585337, 4221246409017875699]","['tetap', 'saja', 'data', 'ya', 'bisa', 'di', 'manipulasi', 'malah', 'mudah']",data manipulasi mudah,data manipulasi mudah
2022-09-03T16:03:36.000Z,mndig apliksi jh bli Bbm jh hrs dptr apliksi bkn kh bgt,Positif,mndig apliksi jh bli Bbm jh hrs dptr apliksi bkn kh bgt,mndig apliksi jh bli bbm jh hrs dptr apliksi bkn kh bgt,mndig apliksi saja beli bbm saja harus dptr apliksi bukan kah banget,"['saja', 'beli', 'saja', 'harus', 'bukan', 'kah', 'banget']","['jh', 'bli', 'jh', 'hrs', 'bkn', 'kh', 'bgt']","[3669648135767855218, 6543320520622501419, 3669648135767855218, 3484446497022537494, -2628968099108416449, 3778511207099944172, 1138462550504344876]","['mndig', 'apliksi', 'saja', 'beli', 'bbm', 'saja', 'harus', 'dptr', 'apliksi', 'bukan', 'kah', 'banget']",mndig apliksi beli bbm dptr apliksi kah banget,mndig apliksi beli bbm dptr apliksi kah banget
2022-09-03T15:58:50.000Z,"Ya kan emg,baca paragraf 3nya itu😂 usul pake video conference",Negatif,Ya kan emg baca paragraf nya itu usul pake video conference,ya kan emg baca paragraf nya itu usul pake video conference,ya kan memang baca paragraf ya itu usul pakai video conference,"['memang', 'ya', 'pakai']","['emg', 'nya', 'pake']","[1863043261475048196, 1299325212670585337, -1102286091675966727]","['ya', 'kan', 'memang', 'baca', 'paragraf', 'ya', 'itu', 'usul', 'pakai', 'video', 'conference']",baca paragraf usul pakai video conference,baca paragraf usul pakai video conference
2022-09-03T03:20:15.000Z,mas orang IT bukan atau ojol? kalo vermuk yakin ga ada kecurangan? sistem ojol yg pake vermuk aja akun sm aslinya data bisa beda lo dan aktif😅,Negatif,mas orang IT bukan atau ojol kalo vermuk yakin ga ada kecurangan sistem ojol yg pake vermuk aja akun sm aslinya data bisa beda lo dan aktif,mas orang it bukan atau ojol kalo vermuk yakin ga ada kecurangan sistem ojol yg pake vermuk aja akun sm aslinya data bisa beda lo dan aktif,mas orang itu bukan atau ojol kalau vermuk yakin tidak ada kecurangan sistem ojol yang pakai vermuk saja akun sama aslinya data bisa beda lo dan aktif,"['itu', 'kalau', 'tidak', 'yang', 'pakai', 'saja', 'sama']","['it', 'kalo', 'ga', 'yg', 'pake', 'aja', 'sm']","[-3599988801184413900, 3889910046600889236, 5723355088733332426, -4203579751553908046, -1102286091675966727, 4947893755461839197, -6697774277868825368]","['mas', 'orang', 'itu', 'bukan', 'atau', 'ojol', 'kalau', 'vermuk', 'yakin', 'tidak', 'ada', 'kecurangan', 'sistem', 'ojol', 'yang', 'pakai', 'vermuk', 'saja', 'akun', 'sama', 'aslinya', 'data', 'bisa', 'beda', 'lo', 'dan', 'aktif']",mas orang ojol vermuk kecurangan sistem ojol pakai vermuk akun aslinya data beda lo aktif,mas orang ojol vermuk curang sistem ojol pakai vermuk akun asli data beda lo aktif
2022-09-01T14:42:26.000Z,"malah lebih aman online lah,pemilihan pasti memasukan nik ktp jadi gak mungkin bisa di rubah,atau ada yg doble",Positif,malah lebih aman online lah pemilihan pasti memasukan nik ktp jadi gak mungkin bisa di rubah atau ada yg doble,malah lebih aman online lah pemilihan pasti memasukan nik ktp jadi gak mungkin bisa di rubah atau ada yg doble,malah lebih aman online lah pemilihan pasti memasukan nik ktp jadi tidak mungkin bisa di rubah atau ada yang doble,"['tidak', 'yang']","['gak', 'yg']","[3568075961566883199, -4203579751553908046]","['malah', 'lebih', 'aman', 'online', 'lah', 'pemilihan', 'pasti', 'memasukan', 'nik', 'ktp', 'jadi', 'tidak', 'mungkin', 'bisa', 'di', 'rubah', 'atau', 'ada', 'yang', 'doble']",aman online pemilihan memasukan nik ktp rubah doble,aman online pilih pasu nik ktp rubah doble
2022-08-29T23:37:30.000Z,betul setuju...karena kita lngsung masuk link nya...,Negatif,betul setuju karena kita lngsung masuk link nya,betul setuju karena kita lngsung masuk link nya,betul setuju karena kita langsung masuk link ya,"['langsung', 'ya']","['lngsung', 'nya']","[8106980489535571109, 1299325212670585337]","['betul', 'setuju', 'karena', 'kita', 'langsung', 'masuk', 'link', 'ya']",setuju langsung masuk link,tuju langsung masuk link
2022-08-21T04:20:39.000Z,kan ada anaknya...bisa minta tolong ke anak atau cucunya,Negatif,kan ada anaknya bisa minta tolong ke anak atau cucunya,kan ada anaknya bisa minta tolong ke anak atau cucunya,kan ada anaknya bisa meminta tolong ke anak atau cucunya,['meminta'],['minta'],[-2798170663373828620],"['kan', 'ada', 'anaknya', 'bisa', 'meminta', 'tolong', 'ke', 'anak', 'atau', 'cucunya']",anaknya tolong anak cucunya,anak tolong anak cucu
2022-08-20T17:37:37.000Z,di jerman juga kaya gitu,Negatif,di jerman juga kaya gitu,di jerman juga kaya gitu,di jerman juga kayak begitu,"['kayak', 'begitu']","['kaya', 'gitu']","[-7053012342997181492, -786857552720105765]","['di', 'jerman', 'juga', 'kayak', 'begitu']",jerman,jerman
2022-08-20T06:35:36.000Z,Amerika mana 😏,Negatif,Amerika mana,amerika mana,amerika mana,[],[],[],"['amerika', 'mana']",amerika,amerika
2022-10-10T12:19:03.000Z,mba Nana tlong up @najwashihab @narasi @kompastvnews @kemkominfo,Positif,mba Nana tlong up,mba nana tlong up,mbak nana tlong up,['mbak'],['mba'],[-7150759330975933087],"['mbak', 'nana', 'tlong', 'up']",mbak nana tlong up,mbak nana tlong up
2022-09-20T04:36:37.000Z,indonesia apa konoha sih,Negatif,indonesia apa konoha sih,indonesia apa konoha sih,indonesia apa konoha sih,[],[],[],"['indonesia', 'apa', 'konoha', 'sih']",indonesia konoha,indonesia konoha
2022-09-15T05:37:53.000Z,ntar jadi presiden online 😅😅😅😅😅,Negatif,ntar jadi presiden online,ntar jadi presiden online,entar jadi presiden online,['entar'],['ntar'],[8335314821438370262],"['entar', 'jadi', 'presiden', 'online']",presiden online,presiden online
2022-09-11T14:31:47.000Z,"gw setuju SDM kita masih rendah.. jadi mudah sekali utk di kelabuhi. tapi mau offline atau online pun sama aja.. kalo yg pgang kkuasaan mreka"" juga.",Negatif,gw setuju SDM kita masih rendah jadi mudah sekali utk di kelabuhi tapi mau offline atau online pun sama aja kalo yg pgang kkuasaan mreka juga,gw setuju sdm kita masih rendah jadi mudah sekali utk di kelabuhi tapi mau offline atau online pun sama aja kalo yg pgang kkuasaan mreka juga,gue setuju sdm kita masih rendah jadi mudah sekali untuk di kelabuhi tapi mau offline atau online pun sama saja kalau yang pgang kkuasaan mereka juga,"['gue', 'untuk', 'saja', 'kalau', 'yang', 'mereka']","['gw', 'utk', 'aja', 'kalo', 'yg', 'mreka']","[-3647722561726161511, -8111974127941293929, 4947893755461839197, 3889910046600889236, -4203579751553908046, -3547894899700519567]","['gue', 'setuju', 'sdm', 'kita', 'masih', 'rendah', 'jadi', 'mudah', 'sekali', 'untuk', 'di', 'kelabuhi', 'tapi', 'mau', 'offline', 'atau', 'online', 'pun', 'sama', 'saja', 'kalau', 'yang', 'pgang', 'kkuasaan', 'mereka', 'juga']",setuju sdm rendah mudah kelabuhi offline online pgang kkuasaan,tuju sdm rendah mudah labuh offline online pgang kkuasaan
2022-09-11T13:31:55.000Z,Konoha lagi Konoha lagi😂,Positif,Konoha lagi Konoha lagi,konoha lagi konoha lagi,konoha lagi konoha lagi,[],[],[],"['konoha', 'lagi', 'konoha', 'lagi']",konoha konoha,konoha konoha
2022-09-11T13:14:29.000Z,pertama itu tapi ingat diindo masih banyak yang tinggal di pedalaman. kasian dia yang tinggal di pedalaman. Ya dikota gampang kalau yang diperdalaman,Negatif,pertama itu tapi ingat diindo masih banyak yang tinggal di pedalaman kasian dia yang tinggal di pedalaman Ya dikota gampang kalau yang diperdalaman,pertama itu tapi ingat diindo masih banyak yang tinggal di pedalaman kasian dia yang tinggal di pedalaman ya dikota gampang kalau yang diperdalaman,pertama itu tapi ingat diindo masih banyak yang tinggal di pedalaman kasihan dia yang tinggal di pedalaman ya dikota gampang kalau yang diperdalaman,['kasihan'],['kasian'],[3048143062297910297],"['pertama', 'itu', 'tapi', 'ingat', 'diindo', 'masih', 'banyak', 'yang', 'tinggal', 'di', 'pedalaman', 'kasihan', 'dia', 'yang', 'tinggal', 'di', 'pedalaman', 'ya', 'dikota', 'gampang', 'kalau', 'yang', 'diperdalaman']",diindo tinggal pedalaman kasihan tinggal pedalaman dikota gampang diperdalaman,diindo tinggal dalam kasihan tinggal dalam kota gampang dalam
2022-09-11T05:07:27.000Z,amerika dan negara negara maju sudah pake itu bukan konoha tp negara api 😁,Positif,amerika dan negara negara maju sudah pake itu bukan konoha tp negara api,amerika dan negara negara maju sudah pake itu bukan konoha tp negara api,amerika dan negara negara maju sudah pakai itu bukan konoha tapi negara api,"['pakai', 'tapi']","['pake', 'tp']","[-1102286091675966727, 7511649191942204706]","['amerika', 'dan', 'negara', 'negara', 'maju', 'sudah', 'pakai', 'itu', 'bukan', 'konoha', 'tapi', 'negara', 'api']",amerika negara negara maju pakai konoha negara api,amerika negara negara maju pakai konoha negara api
2022-09-07T01:02:50.000Z,dinegara maju jg udah bamyak kok,Positif,dinegara maju jg udah bamyak kok,dinegara maju jg udah bamyak kok,dinegara maju juga sudah bamyak kok,"['juga', 'sudah']","['jg', 'udah']","[6232830242450468535, -3393784963511566665]","['dinegara', 'maju', 'juga', 'sudah', 'bamyak', 'kok']",dinegara maju bamyak,negara maju bamyak
2022-09-04T02:32:41.000Z,Amerika mana bang ?,Negatif,Amerika mana bang,amerika mana bang,amerika mana abang,['abang'],['bang'],[1996126667313673005],"['amerika', 'mana', 'abang']",amerika,amerika
2022-09-03T18:08:14.000Z,Pemilu blm beres tapi hasil dah keluar😂,Negatif,Pemilu blm beres tapi hasil dah keluar,pemilu blm beres tapi hasil dah keluar,pemilu belum beres tapi hasil sudah keluar,"['belum', 'sudah']","['blm', 'dah']","[7068770160441217854, 8433543909549882360]","['pemilu', 'belum', 'beres', 'tapi', 'hasil', 'sudah', 'keluar']",pemilu beres hasil,pemilu beres hasil
2022-09-03T17:38:00.000Z,"dulu donal trump minta bantuan hacker pemerintah rusia,untuk memenangkan pemilu,dan berhasil 😅",Positif,dulu donal trump minta bantuan hacker pemerintah rusia untuk memenangkan pemilu dan berhasil,dulu donal trump minta bantuan hacker pemerintah rusia untuk memenangkan pemilu dan berhasil,dulu donal trump meminta bantuan hacker pemerintah rusia untuk memenangkan pemilu dan berhasil,['meminta'],['minta'],[-2798170663373828620],"['dulu', 'donal', 'trump', 'meminta', 'bantuan', 'hacker', 'pemerintah', 'rusia', 'untuk', 'memenangkan', 'pemilu', 'dan', 'berhasil']",donal trump bantuan hacker pemerintah rusia memenangkan pemilu berhasil,donal trump bantu hacker perintah rusia menang pemilu hasil
2022-09-03T15:12:31.000Z,"pemilu online udh banyak negara yang memakai sistem tersebut , yang jd permasalahan , apakah mampu indonesia melakukan itu atau tdak",Negatif,pemilu online udh banyak negara yang memakai sistem tersebut yang jd permasalahan apakah mampu indonesia melakukan itu atau tdak,pemilu online udh banyak negara yang memakai sistem tersebut yang jd permasalahan apakah mampu indonesia melakukan itu atau tdak,pemilu online sudah banyak negara yang memakai sistem tersebut yang jadi permasalahan apakah mampu indonesia melakukan itu atau tidak,"['sudah', 'jadi', 'tidak']","['udh', 'jd', 'tdak']","[348838239698359712, 4847094912122387450, 6388181580790544574]","['pemilu', 'online', 'sudah', 'banyak', 'negara', 'yang', 'memakai', 'sistem', 'tersebut', 'yang', 'jadi', 'permasalahan', 'apakah', 'mampu', 'indonesia', 'melakukan', 'itu', 'atau', 'tidak']",pemilu online negara memakai sistem permasalahan indonesia,pemilu online negara pakai sistem masalah indonesia
2022-09-03T14:23:33.000Z,siapa dulu dong presidennya 😅😅😅😅,Negatif,siapa dulu dong presidennya,siapa dulu dong presidennya,siapa dulu dong presidennya,[],[],[],"['siapa', 'dulu', 'dong', 'presidennya']",presidennya,presiden
2022-09-03T13:55:10.000Z,Amerika mana? 😂😂😂,Negatif,Amerika mana,amerika mana,amerika mana,[],[],[],"['amerika', 'mana']",amerika,amerika
2022-09-03T12:45:30.000Z,Negara lawak biasa bg,Negatif,Negara lawak biasa bg,negara lawak biasa bg,negara lawak biasa bang,['bang'],['bg'],[-3274958614690838210],"['negara', 'lawak', 'biasa', 'bang']",negara lawak,negara lawak
2022-09-03T07:10:19.000Z,benar y dibilang RG😳,Negatif,benar y dibilang RG,benar y dibilang rg,benar ya dibilang rg,['ya'],['y'],[6176041182156740984],"['benar', 'ya', 'dibilang', 'rg']",dibilang rg,bilang rg
2022-09-01T11:40:48.000Z,🤣zaman sekarang make nik orang Laen bsa mba ambil aj di google,Negatif,zaman sekarang make nik orang Laen bsa mba ambil aj di google,zaman sekarang make nik orang laen bsa mba ambil aj di google,zaman sekarang memakai nik orang lain bisa mbak ambil saja di google,"['memakai', 'lain', 'bisa', 'mbak', 'saja']","['make', 'laen', 'bsa', 'mba', 'aj']","[-7704727064422948174, -2358256285668325498, 1284575055842552414, -7150759330975933087, 5040236442138878747]","['zaman', 'sekarang', 'memakai', 'nik', 'orang', 'lain', 'bisa', 'mbak', 'ambil', 'saja', 'di', 'google']",zaman memakai nik orang mbak ambil google,zaman pakai nik orang mbak ambil google
2022-08-27T04:04:34.000Z,"la gk nyadar apa, nik kita udah ada d sana semua wkwk",Negatif,la gk nyadar apa nik kita udah ada d sana semua wkwk,la gk nyadar apa nik kita udah ada d sana semua wkwk,lah tidak menyadar apa nik kita sudah ada di sana semua wkwk,"['lah', 'tidak', 'menyadar', 'sudah', 'di']","['la', 'gk', 'nyadar', 'udah', 'd']","[673551375584119594, 6474150943977044722, -4751688309429668244, -3393784963511566665, 4221246409017875699]","['lah', 'tidak', 'menyadar', 'apa', 'nik', 'kita', 'sudah', 'ada', 'di', 'sana', 'semua', 'wkwk']",menyadar nik,sadar nik
2022-08-23T11:12:01.000Z,tapi KLO pale nik kemungkinan nggak bisa pakebalun banyak kecuali dia pa nik orang lain,Positif,tapi KLO pale nik kemungkinan nggak bisa pakebalun banyak kecuali dia pa nik orang lain,tapi klo pale nik kemungkinan nggak bisa pakebalun banyak kecuali dia pa nik orang lain,tapi kalau pale nik kemungkinan tidak bisa pakebalun banyak kecuali dia apa nik orang lain,"['kalau', 'tidak', 'apa']","['klo', 'nggak', 'pa']","[7187231021383550789, 8807731850440055750, -1784954208567385197]","['tapi', 'kalau', 'pale', 'nik', 'kemungkinan', 'tidak', 'bisa', 'pakebalun', 'banyak', 'kecuali', 'dia', 'apa', 'nik', 'orang', 'lain']",pale nik pakebalun kecuali nik orang,pale nik pakebalun kecuali nik orang
2022-08-19T22:16:53.000Z,pake nik lol,Positif,pake nik lol,pake nik lol,pakai nik lol,['pakai'],['pake'],[-1102286091675966727],"['pakai', 'nik', 'lol']",pakai nik lol,pakai nik lol
2022-08-19T23:23:27.000Z,yakin dek😂😂,Negatif,yakin dek,yakin dek,yakin dek,[],[],[],"['yakin', 'dek']",dek,dek
2022-08-20T03:58:58.000Z,Mana bisa itu gak sembarangan,Negatif,Mana bisa itu gak sembarangan,mana bisa itu gak sembarangan,mana bisa itu tidak sembarangan,['tidak'],['gak'],[3568075961566883199],"['mana', 'bisa', 'itu', 'tidak', 'sembarangan']",sembarangan,sembarang
2022-10-30T19:24:23.000Z,taunya zero sih....memang mau bahas apaan...biar kita diskusi...,Negatif,taunya zero sih memang mau bahas apaan biar kita diskusi,taunya zero sih memang mau bahas apaan biar kita diskusi,taunya zero sih memang mau bahas apaan biar kita diskusi,[],[],[],"['taunya', 'zero', 'sih', 'memang', 'mau', 'bahas', 'apaan', 'biar', 'kita', 'diskusi']",taunya zero bahas biar diskusi,tau zero bahas biar diskusi
2022-09-28T09:19:50.000Z,belajar digital....pakek nik atau sidik jari...mana bisa manipulasi.....,Negatif,belajar digital pakek nik atau sidik jari mana bisa manipulasi,belajar digital pakek nik atau sidik jari mana bisa manipulasi,belajar digital pakai nik atau sidik jari mana bisa manipulasi,['pakai'],['pakek'],[-5887551734993730300],"['belajar', 'digital', 'pakai', 'nik', 'atau', 'sidik', 'jari', 'mana', 'bisa', 'manipulasi']",belajar digital pakai nik sidik jari manipulasi,ajar digital pakai nik sidik jari manipulasi
2022-09-28T08:55:20.000Z,masih tanya knp 😅😅😅,Negatif,masih tanya knp,masih tanya knp,masih tanya kenapa,['kenapa'],['knp'],[6365163858627067964],"['masih', 'tanya', 'kenapa']",,
2022-09-25T05:37:03.000Z,mari kita tanyakan pada oppo😅,Negatif,mari kita tanyakan pada oppo,mari kita tanyakan pada oppo,mari kita tanyakan pada oppo,[],[],[],"['mari', 'kita', 'tanyakan', 'pada', 'oppo']",mari oppo,mari oppo
2022-09-20T22:21:38.000Z,Anda sudah mewakili kami,Negatif,Anda sudah mewakili kami,anda sudah mewakili kami,anda sudah mewakili kami,[],[],[],"['anda', 'sudah', 'mewakili', 'kami']",mewakili,wakil
2022-09-11T14:06:49.000Z,formasi apaan lagi ini pak_- dlu siapa yg udah milih dia si.,Negatif,formasi apaan lagi ini pak_ dlu siapa yg udah milih dia si,formasi apaan lagi ini pak_ dlu siapa yg udah milih dia si,formasi apaan lagi ini pak_ dulu siapa yang sudah memilih dia sih,"['dulu', 'yang', 'sudah', 'memilih', 'sih']","['dlu', 'yg', 'udah', 'milih', 'si']","[-5409862697592536106, -4203579751553908046, -3393784963511566665, 6462977376510395297, 4780869782332369313]","['formasi', 'apaan', 'lagi', 'ini', 'pak_', 'dulu', 'siapa', 'yang', 'sudah', 'memilih', 'dia', 'sih']",formasi pak_ memilih,formasi pak pilih
2022-09-08T13:55:28.000Z,ya bener,Positif,ya bener,ya bener,ya benar,['benar'],['bener'],[8046815053335798492],"['ya', 'benar']",,
2022-09-07T10:48:32.000Z,ya gak usah langsung jujur jg bang 😂,Negatif,ya gak usah langsung jujur jg bang,ya gak usah langsung jujur jg bang,ya tidak usah langsung jujur juga abang,"['tidak', 'juga', 'abang']","['gak', 'jg', 'bang']","[3568075961566883199, 6232830242450468535, 1996126667313673005]","['ya', 'tidak', 'usah', 'langsung', 'jujur', 'juga', 'abang']",langsung jujur,langsung jujur
2022-09-06T07:28:30.000Z,sudah terbaca😂,Positif,sudah terbaca,sudah terbaca,sudah terbaca,[],[],[],"['sudah', 'terbaca']",terbaca,baca
2022-09-05T11:17:10.000Z,awas misi2 yg laennnn....bikin ketawa😅,Negatif,awas misi yg laennnn bikin ketawa,awas misi yg laennnn bikin ketawa,awas misi yang laennnn bikin ketawa,['yang'],['yg'],[-4203579751553908046],"['awas', 'misi', 'yang', 'laennnn', 'bikin', 'ketawa']",awas misi laennnn bikin ketawa,awas misi laennnn bikin ketawa
2022-09-05T08:01:23.000Z,anda mlblbetul sekali,Negatif,anda mlblbetul sekali,anda mlblbetul sekali,anda mlblbetul sekali,[],[],[],"['anda', 'mlblbetul', 'sekali']",mlblbetul,mlblbetul
2022-09-05T00:25:41.000Z,ente kadang kadang😁,Positif,ente kadang kadang,ente kadang kadang,ente kadang kadang,[],[],[],"['ente', 'kadang', 'kadang']",ente kadang kadang,ente kadang kadang
2022-09-04T11:00:24.000Z,wkwkkw mau heran tapi ya tau sendirilah benteng+ antek2nya😁😁,Negatif,wkwkkw mau heran tapi ya tau sendirilah benteng anteknya,wkwkkw mau heran tapi ya tau sendirilah benteng anteknya,wkwkkw mau heran tapi ya tau sendirilah benteng anteknya,[],[],[],"['wkwkkw', 'mau', 'heran', 'tapi', 'ya', 'tau', 'sendirilah', 'benteng', 'anteknya']",wkwkkw heran tau sendirilah benteng anteknya,wkwkkw heran tau sendiri benteng antek
2022-09-04T05:24:52.000Z,fix,Negatif,fix,fix,fix,[],[],[],['fix'],fix,fix
2022-09-04T01:44:56.000Z,"bener bgt...
cari cara untuk pengganti kardus😂😂😂",Positif,bener bgt cari cara untuk pengganti kardus,bener bgt cari cara untuk pengganti kardus,benar banget cari cara untuk pengganti kardus,"['benar', 'banget']","['bener', 'bgt']","[8046815053335798492, 1138462550504344876]","['benar', 'banget', 'cari', 'cara', 'untuk', 'pengganti', 'kardus']",banget cari pengganti kardus,banget cari ganti kardus
2022-09-03T23:53:15.000Z,"haha bener banget,,,",Negatif,haha bener banget,haha bener banget,haha benar banget,['benar'],['bener'],[8046815053335798492],"['haha', 'benar', 'banget']",haha banget,haha banget
2022-08-20T02:28:23.000Z,pasti lah,Positif,pasti lah,pasti lah,pasti lah,[],[],[],"['pasti', 'lah']",,
2022-09-05T13:40:39.000Z,"bisa jdi , sdh berkumpul yg datang tengah malam😂😂",Negatif,bisa jdi sdh berkumpul yg datang tengah malam,bisa jdi sdh berkumpul yg datang tengah malam,bisa jadi sudah berkumpul yang datang tengah malam,"['jadi', 'sudah', 'yang']","['jdi', 'sdh', 'yg']","[4979689259933960526, -1189834226085990113, -4203579751553908046]","['bisa', 'jadi', 'sudah', 'berkumpul', 'yang', 'datang', 'tengah', 'malam']",berkumpul malam,kumpul malam
2022-09-04T00:31:20.000Z,apakah akan ada akun bot yang auto pilih ban-🤨,Negatif,apakah akan ada akun bot yang auto pilih ban,apakah akan ada akun bot yang auto pilih ban,apakah akan ada akun bot yang auto pilih ban,[],[],[],"['apakah', 'akan', 'ada', 'akun', 'bot', 'yang', 'auto', 'pilih', 'ban']",akun bot pilih ban,akun bot pilih ban
2022-08-20T11:21:57.000Z,maksudnya AKU BARU MAU NYOBLOS TUH 2024😭 yaa kalo online begimana ga seru dong wkwk,Negatif,maksudnya AKU BARU MAU NYOBLOS TUH yaa kalo online begimana ga seru dong wkwk,maksudnya aku baru mau nyoblos tuh yaa kalo online begimana ga seru dong wkwk,maksudnya aku baru mau nyoblos tuh ya kalau online begimana tidak seru dong wkwk,"['ya', 'kalau', 'tidak']","['yaa', 'kalo', 'ga']","[-2578186272505188313, 3889910046600889236, 5723355088733332426]","['maksudnya', 'aku', 'baru', 'mau', 'nyoblos', 'tuh', 'ya', 'kalau', 'online', 'begimana', 'tidak', 'seru', 'dong', 'wkwk']",maksudnya nyoblos tuh online begimana seru,maksud nyoblos tuh online begimana seru
2022-08-20T10:17:19.000Z,"nah eta... tolong kurangin setengahnya aja deh ya, bwt kertas dan pengorbanan pohon"" yg bisa di tanem kembali",Negatif,nah eta tolong kurangin setengahnya aja deh ya bwt kertas dan pengorbanan pohon yg bisa di tanem kembali,nah eta tolong kurangin setengahnya aja deh ya bwt kertas dan pengorbanan pohon yg bisa di tanem kembali,nah eta tolong kurangi setengahnya saja deh ya buat kertas dan pengorbanan pohon yang bisa di tanem kembali,"['kurangi', 'saja', 'buat', 'yang']","['kurangin', 'aja', 'bwt', 'yg']","[7431214696600248257, 4947893755461839197, -80039331364437911, -4203579751553908046]","['nah', 'eta', 'tolong', 'kurangi', 'setengahnya', 'saja', 'deh', 'ya', 'buat', 'kertas', 'dan', 'pengorbanan', 'pohon', 'yang', 'bisa', 'di', 'tanem', 'kembali']",eta tolong kurangi setengahnya kertas pengorbanan pohon tanem,eta tolong kurang tengah kertas korban pohon tanem
2022-08-20T05:24:22.000Z,setuju sekali,Negatif,setuju sekali,setuju sekali,setuju sekali,[],[],[],"['setuju', 'sekali']",setuju,tuju
2022-08-20T05:02:17.000Z,sejutuu,Negatif,sejutuu,sejutuu,sejutuu,[],[],[],['sejutuu'],sejutuu,sejutuu
2022-08-20T04:46:17.000Z,tiadakan dpr/dprd jg sangat mengirit skle pak.. wkwk,Negatif,tiadakan dpr dprd jg sangat mengirit skle pak wkwk,tiadakan dpr dprd jg sangat mengirit skle pak wkwk,tiadakan dpr dprd juga sangat mengirit skle pak wkwk,['juga'],['jg'],[6232830242450468535],"['tiadakan', 'dpr', 'dprd', 'juga', 'sangat', 'mengirit', 'skle', 'pak', 'wkwk']",tiadakan dpr dprd mengirit skle,tiada dpr dprd irit skle
2022-08-20T04:05:07.000Z,"atau gk usah ada pemilu, gk ada pengeluaran lg 😂😂",Positif,atau gk usah ada pemilu gk ada pengeluaran lg,atau gk usah ada pemilu gk ada pengeluaran lg,atau tidak usah ada pemilu tidak ada pengeluaran lagi,"['tidak', 'tidak', 'lagi']","['gk', 'gk', 'lg']","[6474150943977044722, 6474150943977044722, 3963008198877422414]","['atau', 'tidak', 'usah', 'ada', 'pemilu', 'tidak', 'ada', 'pengeluaran', 'lagi']",pemilu pengeluaran,pemilu keluar
2022-08-20T01:40:50.000Z,Betull,Negatif,Betull,betull,betull,[],[],[],['betull'],betull,betull
2022-08-20T01:23:07.000Z,salah bro. sekarang negara milik warna Abang😂😂😂😂😂,Negatif,salah bro sekarang negara milik warna Abang,salah bro sekarang negara milik warna abang,salah bro sekarang negara milik warna abang,[],[],[],"['salah', 'bro', 'sekarang', 'negara', 'milik', 'warna', 'abang']",salah bro negara milik warna,salah bro negara milik warna
2022-08-20T05:03:12.000Z,2023 ganti rakyattt,Positif,ganti rakyattt,ganti rakyattt,ganti rakyattt,[],[],[],"['ganti', 'rakyattt']",ganti rakyattt,ganti rakyattt
2022-08-19T11:00:13.000Z,"hallo pak kemanani bapak, butuh penjelasani pak biar bisa percaya",Negatif,hallo pak kemanani bapak butuh penjelasani pak biar bisa percaya,hallo pak kemanani bapak butuh penjelasani pak biar bisa percaya,halo pak kemanani bapak butuh penjelasani pak biar bisa percaya,['halo'],['hallo'],[-6814696892922974216],"['halo', 'pak', 'kemanani', 'bapak', 'butuh', 'penjelasani', 'pak', 'biar', 'bisa', 'percaya']",halo kemanani butuh penjelasani biar percaya,halo kemanani butuh penjelasani biar percaya
2022-08-19T10:34:23.000Z,sebutkan bagaimana kami bisa percaya bahwa keamanan data terjamin,Negatif,sebutkan bagaimana kami bisa percaya bahwa keamanan data terjamin,sebutkan bagaimana kami bisa percaya bahwa keamanan data terjamin,sebutkan bagaimana kami bisa percaya bahwa keamanan data terjamin,[],[],[],"['sebutkan', 'bagaimana', 'kami', 'bisa', 'percaya', 'bahwa', 'keamanan', 'data', 'terjamin']",sebutkan percaya keamanan data terjamin,sebut percaya aman data jamin
2022-09-28T04:24:00.000Z,kalau keamanan data tidak terjamin bagaimana ?,Negatif,kalau keamanan data tidak terjamin bagaimana,kalau keamanan data tidak terjamin bagaimana,kalau keamanan data tidak terjamin bagaimana,[],[],[],"['kalau', 'keamanan', 'data', 'tidak', 'terjamin', 'bagaimana']",keamanan data terjamin,aman data jamin
2022-09-24T08:06:04.000Z,terus situ tau keamanan data terjamin ?,Negatif,terus situ tau keamanan data terjamin,terus situ tau keamanan data terjamin,terus situ tau keamanan data terjamin,[],[],[],"['terus', 'situ', 'tau', 'keamanan', 'data', 'terjamin']",situ tau keamanan data terjamin,situ tau aman data jamin
2022-09-11T14:07:22.000Z,saya gak ada bilang online Lo pak 😳,Positif,saya gak ada bilang online Lo pak,saya gak ada bilang online lo pak,saya tidak ada bilang online lo pak,['tidak'],['gak'],[3568075961566883199],"['saya', 'tidak', 'ada', 'bilang', 'online', 'lo', 'pak']",bilang online lo,bilang online lo
2022-09-11T13:44:55.000Z,aturan yg buat siapa😅,Negatif,aturan yg buat siapa,aturan yg buat siapa,aturan yang buat siapa,['yang'],['yg'],[-4203579751553908046],"['aturan', 'yang', 'buat', 'siapa']",aturan,atur
